,GPCR,EnrichedSubclasses.Freq
1,Mas1,17
2,Rxfp1,15
3,Gpr68,11
4,Mchr1,10
5,Grm8,9
6,Cckbr,8
7,Chrm1,8
8,Gpr26,8
9,Adgrd1,7
10,Cnr1,7
11,Gpr22,7
12,Htr1a,7
13,Htr6,7
14,Ntsr1,7
15,Sstr2,7
16,Sstr4,7
17,Vipr1,7
18,Adra1a,6
19,Adra2c,6
20,Adrb1,6
21,Bdkrb1,6
22,Chrm2,6
23,Chrm3,6
24,Crhr1,6
25,Drd1,6
26,Gpr3,6
27,Hrh1,6
28,Npy1r,6
29,Oprd1,6
30,S1pr3,6
31,Sstr3,6
32,Adora1,5
33,Adra1b,5
34,Gpr27,5
35,Grm2,5
36,Grm3,5
37,Hrh3,5
38,Htr1b,5
39,Htr2a,5
40,Htr5a,5
41,Lpar1,5
42,Npy2r,5
43,Ptger3,5
44,Sstr1,5
45,Adra2a,4
46,Gipr,4
47,Gpr4,4
48,Grm1,4
49,Hcrtr1,4
50,Hcrtr2,4
51,Hrh2,4
52,Npy5r,4
53,Trhr,4
54,Drd5,3
55,Kiss1r,3
56,Oprk1,3
57,Oprm1,3
58,Oxtr,3
59,Adrb3,2
60,Bdkrb2,2
61,Gpr75,2
62,Htr1d,2
63,Htr4,2
64,Oprl1,2
65,Prokr2,2
66,Qrfpr,2
67,Rxfp2,2
68,Tacr1,2
69,Avpr1a,1
70,Drd2,1
71,Ednra,1
72,Gpr153,1
73,Gpr39,1
74,Grm4,1
75,Htr2c,1
76,Mc4r,1
77,Npbwr1,1
78,Npsr1,1
79,P2ry14,1
80,Pth1r,1
